external_movie_id,title,description,release_year,duration,age_rating,language,country,director_name,genre_name,price_min,price_max,poster_url
ext_movie_0001,External Movie 0001,Generated external movie description 1,2007,111,6+,German,United Kingdom,Lucas Wood,Comedy,5.55,10.93,https://example.com/posters/external_movie_0001.jpg
ext_movie_0002,External Movie 0002,Generated external movie description 2,1995,107,6+,English,Italy,Emily Turner,Horror,5.35,10.83,https://example.com/posters/external_movie_0002.jpg
ext_movie_0003,External Movie 0003,Generated external movie description 3,2004,137,18+,Korean,United States,Daniel Brooks,Horror,5.59,18.76,https://example.com/posters/external_movie_0003.jpg
ext_movie_0004,External Movie 0004,Generated external movie description 4,2003,177,12+,French,United Kingdom,Olivia North,Comedy,4.68,13.85,https://example.com/posters/external_movie_0004.jpg
ext_movie_0005,External Movie 0005,Generated external movie description 5,2006,183,0+,Portuguese,Italy,Robert Night,History,4.43,14.59,https://example.com/posters/external_movie_0005.jpg
ext_movie_0006,External Movie 0006,Generated external movie description 6,2013,153,6+,French,United States,Victor Hill,Mystery,4.5,17.78,https://example.com/posters/external_movie_0006.jpg
ext_movie_0007,External Movie 0007,Generated external movie description 7,2004,190,0+,Italian,Germany,Grace Black,Romance,4.15,10.35,https://example.com/posters/external_movie_0007.jpg
ext_movie_0008,External Movie 0008,Generated external movie description 8,2012,106,12+,French,Brazil,Daniel Brooks,Thriller,6.33,13.77,https://example.com/posters/external_movie_0008.jpg
ext_movie_0009,External Movie 0009,Generated external movie description 9,2014,114,18+,Japanese,Japan,Mark Devlin,Crime,5.91,13.36,https://example.com/posters/external_movie_0009.jpg
ext_movie_0010,External Movie 0010,Generated external movie description 10,2015,114,0+,Japanese,Brazil,Nora Lake,Crime,6.28,23.36,https://example.com/posters/external_movie_0010.jpg
ext_movie_0011,External Movie 0011,Generated external movie description 11,2019,98,12+,German,France,Lucas Wood,Thriller,5.61,16.54,https://example.com/posters/external_movie_0011.jpg
ext_movie_0012,External Movie 0012,Generated external movie description 12,2015,126,6+,German,Italy,Tom Silver,Comedy,4.04,17.81,https://example.com/posters/external_movie_0012.jpg
ext_movie_0013,External Movie 0013,Generated external movie description 13,1999,160,6+,Italian,Brazil,Laura Stone,Adventure,6.01,23.93,https://example.com/posters/external_movie_0013.jpg
ext_movie_0014,External Movie 0014,Generated external movie description 14,2023,112,18+,English,United Kingdom,Lucas Wood,Mystery,4.52,24.46,https://example.com/posters/external_movie_0014.jpg
