ts,ready,running,completed,failed,queue_lag_seconds,throughput_per_second,avg_wait_priority_100,avg_wait_priority_0
2026-05-07T22:39:51.017954,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:52.025326,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:53.035854,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:54.045343,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:55.052294,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:56.060955,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:57.087550,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:58.095505,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:39:59.103671,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:00.113214,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:01.120286,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:02.126958,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:03.136913,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:04.144900,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:05.150074,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:06.153143,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:07.159224,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:08.166308,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:09.176673,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:10.185251,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:11.195122,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:12.197920,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:13.203771,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:14.207790,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:15.212180,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:16.219149,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:17.232244,0,0,1,0,0.000,0,1009.686,0.000
2026-05-07T22:40:18.241339,0,0,1,0,0.000,0,1009.686,0.000
